year,abundance,age,bio,ssb,catch
1970,1199,1,,,
1971,3260,1,,,
1972,3677,1,,,
1973,10684,1,,,
1974,2154,1,,,
1975,2170,1,,,
1976,8578,1,,,
1977,11732,1,745,137,118092
1978,14486,1,899,128,95408
1979,25752,1,1258,131,106161
1980,12920,1,1719,172,115158
1981,7183,1,2665,177,147818
1982,7282,1,2905,270,169045
1983,5227,1,2742,406,215625
1984,5955,1,2399,461,307541
1985,15122,1,1958,442,286900
1986,4618,1,1600,399,86910
1987,1842,1,1969,372,68070
1988,4990,1,1883,380,63391
1989,11873,1,1706,422,75585
1990,8365,1,1552,402,88269
1991,3261,1,1735,399,100488
1992,2363,1,2094,370,90858
1993,1558,1,1823,404,108909
1994,1739,1,1518,449,107335
1995,6431,1,1268,405,72618
1996,3128,1,1061,368,51263
1997,1446,1,1093,322,90130
1998,1381,1,969,247,125460
1999,1695,1,771,220,95638
2000,6166,1,678,203,73080
2001,6714,1,643,197,72077
2002,844,1,812,167,51934
2003,781,1,1015,154,50684
2004,695,1,825,164,63844
2005,1973,1,681,206,80978
2006,5725,1,583,215,71976
2007,5694,1,559,194,52714
2008,6957,1,873,191,52584
2009,3469,1,1352,191,44247
2010,1488,1,1529,263,76745
2011,4767,1,1399,315,81359
2012,1216,1,1271,342,103984
2013,16895,1,1256,376,96353
2014,2931,1,1134,294,142633
2015,893,1,1728,251,
1970,299,2,,,
1971,299,2,,,
1972,812,2,,,
1973,916,2,,,
1974,2661,2,,,
1975,536,2,,,
1976,540,2,,,
1977,2136,2,,,
1978,2921,2,,,
1979,3607,2,,,
1980,6413,2,,,
1981,3217,2,,,
1982,1789,2,,,
1983,1813,2,,,
1984,1301,2,,,
1985,1482,2,,,
1986,3764,2,,,
1987,1150,2,,,
1988,459,2,,,
1989,1242,2,,,
1990,2956,2,,,
1991,2083,2,,,
1992,812,2,,,
1993,588,2,,,
1994,388,2,,,
1995,433,2,,,
1996,1602,2,,,
1997,779,2,,,
1998,360,2,,,
1999,344,2,,,
2000,422,2,,,
2001,1535,2,,,
2002,1671,2,,,
2003,210,2,,,
2004,194,2,,,
2005,173,2,,,
2006,490,2,,,
2007,1423,2,,,
