year,age,weight,abundance,mat,ssb,dorn.a.mat,dorn.a.ssb,,,,,
1977,1,0.01,2748,0,0.00,,,,,,,
1978,1,0.01,2947,0,0.00,,,,,,,
1979,1,0.01,5103,0,0.00,,,,,,,
1980,1,0.01,2791,0,0.00,,,,,,,
1981,1,0.01,610,0,0.00,,,,,,,
1982,1,0.01,839,0,0.00,,,,,,,
1983,1,0.01,365,0,0.00,0,0.00,,,,,
1984,1,0.01,682,0,0.00,0,0.00,,,,,
1985,1,0.01,2686,0,0.00,0,0.00,,,,,
1986,1,0.01,1003,0,0.00,0,0.00,,,,,
1987,1,0.01,225,0,0.00,0,0.00,,,,,
1988,1,0.01,462,0,0.00,0,0.00,,,,,
1989,1,0.01,2302,0,0.00,0,0.00,,,,,
1990,1,0.01,1294,0,0.00,0,0.00,,,,,
1991,1,0.01,498,0,0.00,0,0.00,,,,,
1992,1,0.01,305,0,0.00,0,0.00,,,,,
1993,1,0.01,196,0,0.00,0,0.00,,,,,
1994,1,0.01,253,0,0.00,0,0.00,,,,,
1995,1,0.01,1289,0,0.00,0,0.00,,,,,
1996,1,0.01,451,0,0.00,0,0.00,,,,,
1997,1,0.01,202,0,0.00,0,0.00,,,,,
1998,1,0.01,227,0,0.00,0,0.00,,,,,
1999,1,0.01,222,0,0.00,,,,,,,
2000,1,0.01,1184,0,0.00,0,0.00,,,,,
2001,1,0.01,948,0,0.00,0,0.00,,,,,
2002,1,0.01,152,0,0.00,0,0.00,,,,,
2003,1,0.01,131,0,0.00,0,0.00,,,,,
2004,1,0.01,103,0,0.00,0,0.00,,,,,
2005,1,0.01,472,0,0.00,0,0.00,,,,,
2006,1,0.01,893,0,0.00,0,0.00,,,,,
2007,1,0.01,783,0,0.00,0,0.00,,,,,
2008,1,0.01,1300,0,0.00,0,0.00,,,,,
2009,1,0.01,534,0,0.00,0,0.00,,,,,
2010,1,0.01,209,0,0.00,0,0.00,,,,,
2011,1,0.01,758,0,0.00,,,,,,,
2012,1,0.01,156,0,0.00,0,0.00,,,,,
2013,1,0.01,4084,0,0.00,0,0.00,,,,,
1977,2,0.08,1408,0,0.00,,,,,,,
1978,2,0.08,2035,0,0.00,,,,,,,
1979,2,0.08,2182,0,0.00,,,,,,,
1980,2,0.08,3780,0,0.00,,,,,,,
1981,2,0.09,2067,0,0.00,,,,,,,
1982,2,0.09,452,0,0.00,,,,,,,
1983,2,0.08,621,0,0.00,0,0.00,,,,,
1984,2,0.11,270,0,0.00,0,0.00,,,,,
1985,2,0.1,504,0,0.00,0.02,0.50,,,,,
1986,2,0.07,1982,0,0.00,0,0.00,,,,,
1987,2,0.07,742,0,0.00,0,0.00,,,,,
1988,2,0.07,166,0,0.00,0,0.00,,,,,
1989,2,0.09,342,0,0.00,0,0.00,,,,,
1990,2,0.06,1705,0,0.00,0,0.00,,,,,
1991,2,0.07,958,0,0.00,0,0.00,,,,,
1992,2,0.09,369,0,0.00,0,0.00,,,,,
1993,2,0.08,226,0,0.00,0,0.00,,,,,
1994,2,0.09,145,0,0.00,0,0.00,,,,,
1995,2,0.08,187,0,0.00,0,0.00,,,,,
1996,2,0.05,954,0,0.00,0,0.00,,,,,
1997,2,0.08,334,0,0.00,0,0.00,,,,,
1998,2,0.09,149,0,0.00,0,0.00,,,,,
1999,2,0.08,168,0,0.00,0,0.00,,,,,
2000,2,0.07,164,0,0.00,0,0.00,,,,,
2001,2,0.05,877,0,0.00,0,0.00,,,,,
2002,2,0.08,698,0,0.00,0,0.00,,,,,
2003,2,0.09,112,0,0.00,0,0.00,,,,,
2004,2,0.09,97,0,0.00,0,0.00,,,,,
2005,2,0.08,76,0,0.00,0,0.00,,,,,
2006,2,0.07,348,0,0.00,0,0.00,,,,,
2007,2,0.06,658,0,0.00,0,0.00,,,,,
2008,2,0.1,578,0,0.00,0,0.00,,,,,
2009,2,0.08,961,0,0.00,0,0.00,,,,,
2010,2,0.08,395,0,0.00,0,0.00,,,,,
2011,2,0.08,154,0,0.00,0,0.00,,,,,
2012,2,0.08,560,0,0.00,0,0.00,,,,,
2013,2,0.13,115,0,0.00,0,0.00,,,,,
1977,3,0.24,167,0.02,0.40,,,,,,,
1978,3,0.24,1039,0.02,2.49,,,,,,,
1979,3,0.24,1501,0.02,3.60,,,,,,,
1980,3,0.24,1612,0.02,3.87,,,,,,,
1981,3,0.23,2794,0.02,6.43,,,,,,,
1982,3,0.23,1528,0.02,3.51,,,,,,,
1983,3,0.29,333,0.02,0.97,0.17,8.21,,,,,
1984,3,0.23,456,0.02,1.05,0.15,7.87,,,,,
1985,3,0.27,197,0.02,0.53,0.05,1.33,,,,,
1986,3,0.19,366,0.02,0.70,0.02,0.70,,,,,
1987,3,0.19,1456,0.02,2.77,0.01,1.38,,,,,
1988,3,0.19,546,0.02,1.04,0,0.00,,,,,
1989,3,0.23,122,0.02,0.28,0,0.00,,,,,
1990,3,0.21,253,0.02,0.53,0,0.00,,,,,
1991,3,0.15,1260,0.02,1.89,0,0.00,,,,,
1992,3,0.21,708,0.02,1.49,0,0.00,,,,,
1993,3,0.3,272,0.02,0.82,0.02,0.82,,,,,
1994,3,0.27,167,0.02,0.45,0.01,0.23,,,,,
1995,3,0.28,107,0.02,0.30,0,0.00,,,,,
1996,3,0.2,138,0.02,0.28,0,0.00,,,,,
1997,3,0.15,706,0.02,1.06,0,0.00,,,,,
