vessel,cruise,haul,date.time,date.time,latitude,longitude,g.depth,s.temp,g.temp,sex,length,weight,age,maturity,maturity_table,specimenid,liver wt,gonad wt,mature
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,645,2072,13,3,3,48894,0.144,0.318,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,620,2146,7,3,3,48895,0.176,0.438,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,612,2100,14,3,3,48896,0.148,0.48,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,615,2416,8,3,3,48897,0.204,0.36,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,685,2616,13,3,3,48898,0.154,0.674,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,611,1720,11,3,3,48899,0.074,0.428,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,591,1502,6,3,3,48902,0.06,0.258,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,608,2102,7,3,3,48903,0.172,0.454,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,560,1510,6,3,3,48904,0.108,0.21,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,538,1592,7,3,3,48905,0.086,0.348,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,603,2146,,3,3,48906,0.146,0.548,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,682,2544,13,3,3,48907,0.122,0.604,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,645,2062,14,3,3,48908,0.076,0.474,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,624,2218,13,3,3,48909,0.116,0.446,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,601,2126,7,3,3,48910,0.21,0.336,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,641,2130,14,3,3,48911,0.102,0.376,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,650,2512,14,3,3,48912,0.134,0.584,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,630,1936,9,3,3,48913,0.078,0.504,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,655,2176,13,3,3,48914,0.134,0.492,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,660,2372,13,3,3,48915,0.118,0.474,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,746,3094,13,3,3,48916,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,575,1674,7,3,3,48917,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,733,3334,13,3,3,48918,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,620,1568,13,3,3,48919,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,610,2006,13,3,3,48920,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,566,1610,10,3,3,48921,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,638,2196,13,3,3,48925,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,623,2042,14,3,3,48926,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,657,2356,13,3,3,48927,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,647,2332,12,3,3,48928,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,648,2666,14,3,3,48929,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,542,1498,7,3,3,48930,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,587,1618,,3,3,48931,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,544,1462,7,3,3,48932,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,572,1676,7,3,3,48933,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,596,2030,6,3,3,48935,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,638,2050,12,3,3,48936,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,612,1758,14,3,3,48937,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,656,2130,13,3,3,48938,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,567,1606,7,3,3,48939,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,646,2254,13,3,3,48940,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,605,1780,6,3,3,48943,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,548,1450,7,3,3,48944,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,553,1382,6,3,3,48945,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,687,3164,8,3,3,48946,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,576,2076,6,3,3,48947,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,531,1454,7,3,3,48948,,,1
157,201303,43,3/27/2013,3/27/2013,56.24645333,-152.8605333,334.1,4.7,5,2,666,1808,,3,3,48951,,,1
